薬剤一般名,薬剤商品名,効果効能,Tmax/hr,薬効分類,効果発現時間,注意点,一般名・成分名,禁忌・重要な注意,作用機序・薬理作用,重大な副作用,看護のポイント,出典,出典URL,最終確認日,参照製品
"アダラートCR錠10mg・20mg・40mg",,"本態性高血圧症・腎性高血圧症, 狭心症・異型狭心症",,"持続性Ca拮抗薬",,,"ニフェジピン","本剤過敏症、心原性ショックは禁忌。過度の血圧低下、肝機能障害に注意し、自己判断で急に中止しない。グレープフルーツジュースで血中濃度が上昇することがある。徐放錠のため分割・粉砕・かみ砕きをしない。","L型Caチャネルを遮断して血管平滑筋へのCa流入を抑え、末梢・冠血管を拡張して血圧と心筋酸素需要を低下させる。","紅皮症、無顆粒球症・血小板減少、肝機能障害・黄疸、血圧低下に伴う意識障害。","血圧、脈拍、胸部症状、頭痛、顔面紅潮、めまい、浮腫、歯肉肥厚を観察する。過度の低血圧と転倒に注意し、錠剤をそのまま服用できているか、グレープフルーツ摂取の有無を確認する。","PMDA 医療用医薬品情報「アダラートCR錠10mg・20mg・40mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2171014G3022_1?user=1","2026-07-23","アダラートCR錠10mg・20mg・40mg"
"クレストール錠・OD錠2.5mg・5mg",,"高コレステロール血症, 家族性高コレステロール血症",,"HMG-CoA還元酵素阻害薬",,,"ロスバスタチンカルシウム","本剤過敏症、急性肝炎・肝硬変など肝機能低下、妊婦・妊娠可能性のある女性、授乳婦、シクロスポリン投与中は禁忌。腎機能障害、甲状腺機能低下、筋疾患、フィブラート系薬剤併用時は筋障害に注意する。","肝臓のHMG-CoA還元酵素を競合的に阻害してコレステロール合成を抑え、肝LDL受容体を増加させて血中LDLコレステロールを低下させる。","横紋筋融解症、ミオパチー、免疫介在性壊死性ミオパチー、重症筋無力症、肝炎・肝機能障害・黄疸、血小板減少、血管性浮腫を含む過敏症、間質性肺炎、末梢神経障害、多形紅斑。","脂質値、AST・ALT、CK、腎機能を確認する。筋肉痛、脱力、褐色尿、発熱・咳・呼吸困難、しびれ、眼瞼下垂・嚥下困難を観察する。妊娠可能性と相互作用薬を確認する。","PMDA 医療用医薬品情報「クレストール錠・OD錠2.5mg・5mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2189017F1022_1?user=1","2026-07-23","クレストール錠2.5mg・5mg／OD錠2.5mg・5mg"
"イグザレルト錠10mg・15mg",,"非弁膜症性心房細動における虚血性脳卒中・全身性塞栓症の発症抑制, 静脈血栓塞栓症の治療・再発抑制, Fontan手術後の血栓・塞栓形成の抑制",,"選択的直接作用型第Xa因子阻害薬",,,"リバーロキサバン","活動性出血、凝固障害を伴う肝疾患、中等度以上の肝障害、妊婦、本剤過敏症、急性細菌性心内膜炎は禁忌。強力なCYP3A4・P-gp阻害薬など一部薬剤と併用しない。適応・腎機能で用量が異なる。","活性化血液凝固第X因子を選択的かつ直接阻害し、トロンビン生成と血栓形成を抑制する。","脾破裂に至る脾臓出血を含む頭蓋内・消化管などの重大な出血、肝機能障害・黄疸、間質性肺疾患、血小板減少、急性腎障害。","出血徴候、便・尿、皮下出血、腹痛、血圧、意識・神経症状、Hb・血小板、腎肝機能を確認する。適応、体重、腎機能、最終服用時刻、手術・処置予定を共有し、自己判断で休薬・倍量服用しないよう確認する。","PMDA 医療用医薬品情報「イグザレルト錠10mg・15mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3339003F1024_1?user=1","2026-07-23","イグザレルト錠10mg・15mg"
"メマリー錠・OD錠5mg・10mg・20mg",,"中等度・高度アルツハイマー型認知症における認知症症状の進行抑制",,"NMDA受容体拮抗薬",,,"メマンチン塩酸塩","本剤過敏症は禁忌。腎排泄型のため高度腎機能障害では用量調整が必要。開始時は5mgから段階的に増量し、めまい・傾眠による転倒や運転に注意する。効果は病態の進行自体を止めるものではない。","NMDA受容体チャネルの過剰な活性化を低親和性・電位依存性に阻害し、グルタミン酸神経系の機能異常を抑える。","痙攣、失神・意識消失、激越・攻撃性・妄想・幻覚・錯乱・せん妄などの精神症状、肝機能障害・黄疸、横紋筋融解症、完全房室ブロック・高度徐脈。","認知機能、行動・心理症状、意識、歩行・転倒、食事・服薬状況を本人と介護者から確認する。腎機能、肝機能、脈拍を確認し、開始・増量時のめまい、傾眠、興奮、幻覚、痙攣に注意する。","PMDA 医療用医薬品情報「メマリー錠・OD錠5mg・10mg・20mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/1190018F1023_1?user=1","2026-07-23","メマリー錠5mg・10mg・20mg／OD錠5mg・10mg・20mg"
"アルファロールカプセル0.25μg・0.5μg・1μg",,"慢性腎不全・副甲状腺機能低下症などに伴うビタミンD代謝異常の改善, 骨粗鬆症",,"活性型ビタミンD3製剤",,,"アルファカルシドール","電子添文に禁忌の記載なし。過量投与による高カルシウム血症を防ぐため、血清Caを定期的に確認して用量を調整する。ビタミンD製剤、Ca製剤、PTH製剤などとの併用に注意する。","肝臓で活性型ビタミンD3のカルシトリオールに変換され、腸管からのCa・リン吸収と骨代謝を調節する。","血清Ca上昇を伴う急性腎障害、肝機能障害・黄疸。","血清Ca・リン、腎機能、肝機能を確認する。食欲不振、悪心、嘔吐、口渇、多尿、便秘、倦怠感、意識変化など高Ca血症の徴候を観察する。Ca・ビタミンD含有薬やサプリメントを確認する。","PMDA 医療用医薬品情報「アルファロールカプセル0.25μg・0.5μg・1μg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3112001M1046_1?user=1","2026-07-23","アルファロールカプセル0.25μg・0.5μg・1μg"
"エリキュース錠2.5mg・5mg",,"非弁膜症性心房細動における虚血性脳卒中・全身性塞栓症の発症抑制, 静脈血栓塞栓症の治療・再発抑制",,"選択的直接作用型第Xa因子阻害薬",,,"アピキサバン","臨床的に問題となる出血、血液凝固異常を伴う肝疾患、本剤過敏症などは禁忌。適応、年齢、体重、腎機能、肝機能、CYP3A4・P-gp関連薬を確認し、自己判断で中止しない。","活性化血液凝固第X因子を選択的かつ可逆的に阻害し、トロンビン産生と血栓形成を抑制する。","頭蓋内出血、消化管出血などの出血、間質性肺疾患、肝機能障害。","出血徴候、血算、腎・肝機能、服薬状況を確認する。非弁膜症性心房細動では年齢・体重・血清クレアチニンによる減量基準、静脈血栓塞栓症では治療開始期と維持期の用法の違いを確認する。","PMDA 医療用医薬品情報「エリキュース錠2.5mg・5mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3339004F1029_1?user=1","2026-07-23","エリキュース錠2.5mg・5mg"
"プラザキサカプセル75mg・110mg",,"非弁膜症性心房細動における虚血性脳卒中・全身性塞栓症の発症抑制",,"直接トロンビン阻害剤",,,"ダビガトランエテキシラートメタンスルホン酸塩","高度の腎障害、出血症状、器質的出血性疾患、イトラコナゾール経口剤との併用などは禁忌。腎機能、年齢、P-gp関連薬、消化管出血リスクを確認する。カプセルを開けたり、かみ砕いたりしない。","体内でダビガトランに変換され、トロンビンを直接かつ可逆的に阻害して血栓形成を抑制する。","出血、間質性肺炎、アナフィラキシー、急性肝不全・肝機能障害・黄疸。","投与前と投与中に腎機能、血算、出血徴候、消化器症状、服薬状況を確認する。1日2回の服薬間隔と飲み忘れ時の対応を説明し、脱カプセルしないことを確認する。","PMDA 医療用医薬品情報「プラザキサカプセル75mg・110mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3339001M1024_1?user=1","2026-07-23","プラザキサカプセル75mg・110mg"
"ワーファリン錠0.5mg・1mg・5mg",,"血栓塞栓症の治療・予防",,"経口抗凝固剤・ビタミンK拮抗薬",,,"ワルファリンカリウム","出血している患者、出血する可能性のある患者、重篤な肝・腎障害、妊婦などは禁忌。多数の薬物相互作用があり、ビタミンKを多く含む食品や健康食品の摂り方を急に変えない。","ビタミンK依存性凝固因子の肝合成を抑制し、抗凝固作用を示す。","出血、皮膚壊死、肝機能障害・黄疸、急性腎障害、アナフィラキシー。","PT-INRに基づく用量調整、出血・血栓徴候、併用薬、食事・健康食品、服薬状況を確認する。新しい薬や市販薬を始める前に医療者へ相談するよう説明する。","PMDA 医療用医薬品情報「ワーファリン錠0.5mg・1mg・5mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/3332001D1023_2?user=1","2026-07-23","ワーファリン錠0.5mg・1mg・5mg"
"ベルソムラ錠10mg・15mg・20mg",,"不眠症",,"オレキシン受容体拮抗薬",,,"スボレキサント","本剤成分への過敏症歴、強いCYP3A阻害薬の一部との併用は禁忌。就寝直前に服用し、服用後に途中で起きて活動する可能性がある場合は服用しない。食事と同時・食直後を避ける。翌朝以後の眠気や注意力低下に注意する。","覚醒を促進するオレキシンA・BのOX1・OX2受容体への結合を可逆的に阻害し、覚醒状態から睡眠状態への移行を促す。","電子添文に重大な副作用の項目はない。傾眠、頭痛、浮動性めまい、睡眠時麻痺、悪夢、睡眠時随伴症などに注意する。","服用時刻、食事との間隔、翌朝の眠気・ふらつき、転倒、夢や睡眠時随伴症、呼吸状態、肝機能、CYP3A関連薬、飲酒を確認する。高齢者では血中濃度が高くなる傾向を踏まえて観察する。","PMDA 医療用医薬品情報「ベルソムラ錠10mg・15mg・20mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/1190023F1024_1?user=1","2026-07-23","ベルソムラ錠10mg・15mg・20mg"
"デエビゴ錠2.5mg・5mg・10mg",,"不眠症",,"オレキシン受容体拮抗薬",,,"レンボレキサント","本剤成分への過敏症歴、重度肝機能障害は禁忌。就寝直前に服用し、服用後に途中で起きて活動する可能性がある場合は服用しない。食事と同時・食直後を避ける。CYP3A阻害薬との併用時は投与可否と用量を確認する。","オレキシンA・BのOX1・OX2受容体への結合を可逆的に阻害し、覚醒状態から睡眠状態への移行を促す。","電子添文に重大な副作用の項目はない。傾眠、頭痛、浮動性めまい、睡眠時麻痺、異常な夢、睡眠時随伴症、転倒などに注意する。","服用時刻、食事との間隔、翌朝の眠気・ふらつき、転倒、夢や睡眠時随伴症、呼吸状態、肝機能、CYP3A関連薬、飲酒を確認する。増量時は傾眠などの増加に注意する。","PMDA 医療用医薬品情報「デエビゴ錠2.5mg・5mg・10mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/1190027F1022_1?user=1","2026-07-23","デエビゴ錠2.5mg・5mg・10mg"
"クービビック錠25mg・50mg",,"不眠症",,"オレキシン受容体拮抗薬",,,"ダリドレキサント塩酸塩","本剤成分への過敏症歴、重度肝機能障害、強いCYP3A阻害薬の一部との併用は禁忌。就寝直前に服用し、服用後に途中で起きて活動する可能性がある場合は服用しない。食事と同時・食直後を避ける。","オレキシン神経ペプチドによるOX1・OX2受容体の活性を抑制するデュアルオレキシン受容体拮抗薬。","電子添文に重大な副作用の項目はない。傾眠、頭痛、浮動性めまい、睡眠時麻痺、悪夢、睡眠時随伴症、過敏症などに注意する。","服用時刻、食事との間隔、翌朝の眠気・注意力低下、ふらつき・転倒、夢や睡眠時随伴症、呼吸状態、肝機能、CYP3A関連薬、飲酒を確認する。中等度肝機能障害や中程度CYP3A阻害薬併用時は用量を確認する。","PMDA 医療用医薬品情報「クービビック錠25mg・50mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/1190033F1028_1?user=1","2026-07-23","クービビック錠25mg・50mg"
"ロゼレム錠8mg",,"不眠症における入眠困難の改善",,"メラトニン受容体作動薬",,,"ラメルテオン","本剤成分への過敏症歴、高度肝機能障害、フルボキサミン投与中は禁忌。就寝直前に服用し、服用後に途中で起きて活動する可能性がある場合は服用しない。食事と同時・食直後を避ける。","メラトニンMT1・MT2受容体に作用し、睡眠の誘導に関わる生理的機構を介して入眠を促す。GABAA受容体には親和性を示さない。","アナフィラキシー。眠気、めまい、頭痛、悪夢、プロラクチン上昇などにも注意する。","服用時刻、食事との間隔、入眠困難の変化、翌朝の眠気・注意力低下、肝機能、併用薬を確認する。月経異常、乳汁漏出、性欲減退があれば共有する。開始2週間後を目安に有効性・安全性を評価し、漫然投与を避ける。","PMDA 医療用医薬品情報「ロゼレム錠8mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/1190016F1024_1?user=1","2026-07-23","ロゼレム錠8mg"
"コララン錠2.5mg・5mg・7.5mg",,"洞調律かつ投与開始時の安静時心拍数が75回/分以上の慢性心不全（β遮断薬を含む標準治療中の患者）",,"HCNチャネル遮断薬",,,"イバブラジン塩酸塩","不安定・急性心不全、心原性ショック、高度低血圧、洞不全症候群・洞房ブロック・第三度房室ブロック（ペースメーカー使用患者を除く）、重度肝機能障害、妊婦などは禁忌。強いCYP3A阻害薬の一部、ベラパミル、ジルチアゼムと併用しない。","洞結節のペースメーカー電流Ifを構成するHCN4チャネルを阻害し、拡張期脱分極の立ち上がりを遅らせて心拍数を減少させる。","徐脈、光視症・霧視、房室ブロック、心房細動、心電図QT延長に関連する心室性不整脈・トルサード・ド・ポアンなど。","安静時心拍数、心調律、血圧、徐脈に伴うめまい・倦怠感、動悸、光視症・霧視を確認する。開始後は2週間以上の間隔で用量調整される。グレープフルーツジュース、CYP3A関連薬、QT延長薬、低K血症リスクを確認する。","PMDA 医療用医薬品情報「コララン錠2.5mg・5mg・7.5mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2190039F1020_1?user=1","2026-07-23","コララン錠2.5mg・5mg・7.5mg"
"ベリキューボ錠2.5mg・5mg・10mg",,"慢性心不全（標準的な治療を受けている、左室駆出率の低下した患者）",,"可溶性グアニル酸シクラーゼ（sGC）刺激薬",,,"ベルイシグアト","本剤成分への過敏症歴、リオシグアト投与中は禁忌。収縮期血圧100mmHg未満・症候性低血圧、eGFR15mL/min/1.73m2未満・透析中、重度肝機能障害では投与可否を慎重に判断する。PDE5阻害薬、硝酸薬・NO供与薬との併用で症候性低血圧に注意する。","可溶性グアニル酸シクラーゼ（sGC）を一酸化窒素（NO）非依存的に、またNOを介して刺激し、心筋収縮力・血管緊張・心臓リモデリングなどに関わるcGMPの生成を促進する。","低血圧。貧血、浮動性めまい、頭痛、悪心などにも注意する。","食後服用を確認し、血圧と低血圧症状、めまい、転倒リスク、貧血、腎・肝機能を観察する。2.5mgから開始し2週間間隔で段階的に調整されるため、増量前後を比較する。妊娠可能性と避妊、併用薬を確認する。","PMDA 医療用医薬品情報「ベリキューボ錠2.5mg・5mg・10mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2190042F1021_1?user=1","2026-07-23","ベリキューボ錠2.5mg・5mg・10mg"
"フルイトラン錠1mg・2mg",,"高血圧症（本態性・腎性等）, 悪性高血圧, 心性・腎性・肝性浮腫, 月経前緊張症",,"チアジド系降圧利尿剤",,,"トリクロルメチアジド","無尿、急性腎不全、明らかな低Na・低K血症、チアジド系薬剤・スルホンアミド誘導体への過敏症、特定用途のデスモプレシン投与中は禁忌。急激な利尿による電解質失調・脱水に注意する。","主に遠位尿細管でNa-Cl共輸送体を阻害し、ナトリウムと水の排泄を増加させる。","再生不良性貧血、低ナトリウム血症、低カリウム血症、間質性肺炎。","血圧、体重、浮腫、尿量、Na・K、腎機能を確認する。脱水、めまい・ふらつき、倦怠感・脱力、不整脈を観察する。尿酸、血糖、Caも確認し、ループ利尿薬併用時は低Na・低K血症と腎機能悪化を特に警戒する。夜間排尿を避ける必要がある場合は午前中の服用が望ましい。","PMDA 医療用医薬品情報「フルイトラン錠1mg・2mg」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2132003F1257_2?user=1","2026-07-23","フルイトラン錠1mg・2mg"
"サムスカOD錠7.5mg・15mg・30mg・顆粒1％",,"他の利尿薬で効果不十分な心不全・肝硬変の体液貯留, SIADHの低ナトリウム血症, 常染色体優性多発性のう胞腎の進行抑制",,"バソプレシンV2受容体拮抗剤",,,"トルバプタン","本剤・類似化合物への過敏症、口渇を感じない・水分摂取困難、妊婦は禁忌。心不全・肝硬変の体液貯留では無尿、適切な水分補給が困難な肝性脳症も禁忌で、高ナトリウム血症では投与しない。心不全・肝硬変では入院下で開始・再開し、血清Naを頻回に測定する。","腎集合管のバソプレシンV2受容体を遮断し、水再吸収を阻害することで、電解質排泄の増加を伴わず自由水の排泄を増加させる。","腎不全、血栓塞栓症、高ナトリウム血症、急激な血清Na上昇による浸透圧性脱髄症候群、急性肝不全・肝機能障害、ショック・アナフィラキシー、過度の血圧低下、心室細動・心室頻拍など。","心不全・肝硬変では入院下で開始または再開する。開始4～6時間後と8～12時間後を含め血清Naを測定し、翌日から約1週間は毎日確認する。尿量、飲水量、口渇、脱水、体重、血圧、脈拍、K、腎・肝機能を観察する。他の利尿薬と併用し、体液貯留が改善したら漫然と継続しない。","PMDA 医療用医薬品情報「サムスカOD錠・顆粒」","https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/2139011D1022_1?user=1","2026-07-23","サムスカOD錠7.5mg・15mg・30mg・サムスカ顆粒1％"
